 Distance,     time,  uncertainty
     50.0,     5.40,   0.37
     60.0,     6.25,   0.43
     91.4,     9.00,   0.59
    100.0,     9.58,   0.64
    150.0,    14.35,   0.90
    200.0,    19.19,   1.16
    201.2,    19.50,   1.37
    300.0,    30.69,   1.68
    400.0,    43.03,   2.20
    500.0,    57.69,   2.71
    600.0,    72.81,   3.23
    800.0,   100.91,   4.25
   1000.0,   131.96,   5.27
   1500.0,   206.00,   7.81
   1600.0,   231.83,   8.32
   1609.3,   232.13,   8.21
   2000.0,   283.13,   10.35
   3000.0,   440.67,   15.41
   3200.0,   471.35,   16.42
   3219.6,   473.10,   18.52
   5000.0,   755.36,   25.50
