# 30cm_Ruler_m 30cm_Unc_m 2m_Ruler_m 2m_Unc_m
-------------------------------------------
3.371 0.050 3.361 0.005
3.700 0.013 3.372 0.005
3.376 0.012 3.368 0.005
3.335 0.115 3.365 0.030
3.365 0.010 3.373 0.005
3.647 0.020 3.365 0.020
3.347 0.014 3.362 0.010
3.341 0.020 3.366 0.003
3.397 0.050 3.372 0.020
3.362 0.012 3.361 0.003
3.357 0.300 3.369 0.100
3.380 0.150 3.372 0.030
3.273 0.009 3.360 0.015
3.240 0.200 3.359 0.050
3.335 0.300 3.362 0.100
3.370 0.010 3.360 0.010
2.765 0.091 3.362 0.019
3.200 0.002 3.710 0.050
3.345 0.005 3.385 0.005
3.362 0.050 3.375 0.005
3.370 0.050 3.367 0.005
3.353 0.030 3.365 0.005
3.362 0.050 3.355 0.010
3.290 0.060 3.368 0.015
3.655 0.155 3.465 0.050
3.250 0.100 3.360 0.050
3.364 0.025 3.366 0.005
3.054 0.300 3.360 0.050
3.358 0.300 3.364 0.010
3.365 0.010 3.360 0.010
2.372 0.005 2.364 0.015
3.703 0.010 3.760 0.020
3.560 0.100 3.360 0.025
3.345 0.075 3.385 0.045
3.385 0.010 3.362 0.020
3.375 0.003 3.362 0.030
3.364 0.023 3.363 0.008
3.310 0.050 3.360 0.005
3.364 0.030 3.363 0.002
3.352 0.005 3.363 0.001
3.363 0.050 3.365 0.040
3.349 0.070 3.359 0.050
3.035 0.070 3.370 0.020
3.375 0.025 3.360 0.010
3.361 0.005 3.363 0.003
3.065 0.023 3.065 0.002
3.365 0.066 3.364 0.005
3.348 0.025 3.367 0.010
3.366 0.013 3.366 0.004
3.368 0.008 3.367 0.006

